year,January 2d,January 3d,January 22d,January 23d,February 2d,February 3d,February 22d,February 23d,March 2d,March 3d,March 22d,March 23d,April 2d,April 3d,April 22d,April 23d,May 2d,May 3d,May 22d,May 23d,June 2d,June 3d,June 22d,June 23d,July 2d,July 3d,July 22d,July 23d,August 2d,August 3d,August 22d,August 23d,September 2d,September 3d,September 22d,September 23d,October 2d,October 3d,October 22d,October 23d,November 2d,November 3d,November 22d,November 23d,December 2d,December 3d,December 22d,December 23d
1847,6.899087878764476e-08,4.958719301839665e-08,3.449543939382238e-08,1.1426614321408124e-07,5.3899125163070494e-08,1.422936861672497e-07,9.701842174081321e-08,3.449543939382238e-08,1.1857807180604141e-07,1.6600930052845797e-07,1.2935790039136918e-07,6.036702160372442e-08,1.0779825032614099e-07,1.552294719431302e-07,9.701842174081321e-08,9.486245744483313e-08,1.056422860301609e-07,9.270649314885304e-08,8.192667166895262e-08,6.467895019568459e-08,1.0133035033277338e-07,9.701842174081321e-08,1.3798175757528952e-07,1.5307351475257747e-07,1.5307351475257747e-07,1.0133035033277338e-07,1.2720192898996174e-07,9.486245744483313e-08,7.330280737960493e-08,1.056422860301609e-07,8.623860026091279e-08,6.252298589970451e-08,7.330280737960493e-08,7.977070026754518e-08,5.821105375503066e-08,5.605508945905058e-08,7.330280737960493e-08,5.821105375503066e-08,3.880736798578255e-08,4.958719301839665e-08,2.5871578657188365e-08,8.40826359649327e-08,2.802754472952529e-08,5.174315731437673e-08,7.545877167558501e-08,7.545877167558501e-08,1.0779825032614099e-07,5.3899125163070494e-08
1848,6.567510268951082e-08,7.593683903905912e-08,3.8994592443941656e-08,4.720397939195209e-08,9.03032670862558e-08,8.825092123743161e-08,7.183214023598339e-08,7.183214023598339e-08,1.4776898638046987e-07,2.585957190603949e-07,8.825092123743161e-08,8.209387658553169e-08,1.0672204098227667e-07,1.3340255122784583e-07,1.0672204098227667e-07,1.1493143148300078e-07,1.3135020537902165e-07,1.6624009901988757e-07,9.03032670862558e-08,5.1308674642314145e-08,1.416119346231426e-07,1.0672204098227667e-07,8.619857538860742e-08,1.3135020537902165e-07,9.440795878390418e-08,1.580307156245908e-07,8.414622243435588e-08,1.005650034358041e-07,8.619857538860742e-08,7.593683903905912e-08,4.51516335431279e-08,4.720397939195209e-08,1.3545489707667002e-07,7.388449319023493e-08,8.00415307367075e-08,3.078520549593122e-08,1.005650034358041e-07,6.772744853833501e-08,3.694224659511747e-08,3.694224659511747e-08,4.51516335431279e-08,7.593683903905912e-08,1.0261734573191461e-08,6.157041099186245e-08,4.1046938292765844e-08,6.772744853833501e-08,6.362275684068663e-08,5.3361020491138333e-08
1849,2.4291530564823915e-08,3.4413002225619493e-08,6.275312358638985e-08,4.655876750803145e-08,6.072882996477347e-08,8.906894777283014e-08,5.465594554721065e-08,1.1336047833765406e-07,1.3765200890247797e-07,1.437248897673271e-07,1.457491833889435e-07,7.489888531608813e-08,7.489888531608813e-08,1.1133618471603768e-07,6.680171082962261e-08,1.0323901022957216e-07,7.894747966474824e-08,1.0323901022957216e-07,1.093118910944213e-07,4.858306112964783e-08,1.1336047833765406e-07,5.465594554721065e-08,5.263165192559427e-08,7.692318604313186e-08,1.1336047833765406e-07,1.1133618471603768e-07,1.2145765992954694e-07,7.287459169447175e-08,5.870453279044341e-08,5.870453279044341e-08,3.2388708604003114e-08,1.1133618471603768e-07,1.7206501468081115e-07,5.870453279044341e-08,3.0364414982386734e-08,7.489888531608813e-08,4.453447388641507e-08,6.072882996477347e-08,4.858306112964783e-08,3.4413002225619493e-08,8.704465415121376e-08,6.882600445123899e-08,5.465594554721065e-08,6.072882996477347e-08,3.643729584723587e-08,6.477741720800623e-08,5.060735830397789e-08,6.275312358638985e-08
1850,4.3633892943262254e-08,2.086838435388927e-08,5.5016649014305585e-08,4.7428144966943364e-08,3.0354012636735206e-08,4.553101717874597e-08,6.639940153263524e-08,4.173676870777854e-08,1.1003329802861117e-07,1.650499399374894e-07,7.209077779180006e-08,6.829652932083263e-08,7.398790557999746e-08,4.173676870777854e-08,8.726778588652451e-08,3.604538889590003e-08,1.138275464995786e-07,8.91649136747219e-08,6.450227374443784e-08,6.070802527347041e-08,9.106203435749194e-08,7.588503336819485e-08,3.4148264660416316e-08,6.829652932083263e-08,5.8810901037986696e-08,6.829652932083263e-08,5.5016649014305585e-08,4.173676870777854e-08,6.829652932083263e-08,9.295916214568933e-08,5.5016649014305585e-08,6.070802527347041e-08,3.794251668409743e-08,6.450227374443784e-08,7.209077779180006e-08,6.26051530616678e-08,5.5016649014305585e-08,4.7428144966943364e-08,4.932526920242708e-08,6.639940153263524e-08,2.2765508589372985e-08,3.225113687221892e-08,2.845688662489465e-08,4.173676870777854e-08,5.311952122610819e-08,5.8810901037986696e-08,7.588503336819485e-08,5.69137732497893e-08
1851,8.898470582607843e-08,5.161113136864515e-08,7.474715602029391e-08,5.87299062715374e-08,5.5170520596448114e-08,6.050959910908205e-08,7.118777034520463e-08,5.5170520596448114e-08,2.1534299321501749e-07,2.9186983852014237e-07,8.898470582607843e-08,1.1390042686798552e-07,1.1923951603876048e-07,1.1212073047772719e-07,9.610348428168436e-08,1.5483338700050808e-07,1.2279889460842242e-07,1.5839277978102473e-07,1.3525675512937596e-07,7.652685241055224e-08,1.3525675512937596e-07,7.296745963003559e-08,1.655115511312033e-07,1.3347705873911764e-07,1.655115511312033e-07,1.0678164841237958e-07,7.474715602029391e-08,6.050959910908205e-08,1.0678164841237958e-07,1.1568012325824384e-07,9.788318067194268e-08,9.966286995677365e-08,9.788318067194268e-08,1.1568012325824384e-07,6.228929549934037e-08,6.228929549934037e-08,4.6272049303297536e-08,7.83065416953832e-08,3.559388517260231e-08,4.271266007549457e-08,4.271266007549457e-08,6.050959910908205e-08,4.9831434978386824e-08,6.228929549934037e-08,5.87299062715374e-08,8.186593447589985e-08,8.364562376073081e-08,9.788318067194268e-08
1852,5.30940305054628e-08,4.966860700506004e-08,4.281776710968188e-08,4.966860700506004e-08,3.5966923661590045e-08,5.6519450453151876e-08,5.8232160426996415e-08,4.281776710968188e-08,1.2502788138135656e-07,2.0381256149448745e-07,7.193384732318009e-08,5.8232160426996415e-08,9.933721401012008e-08,6.508300742780193e-08,8.221010716624733e-08,4.966860700506004e-08,9.07736605881837e-08,8.392282069280554e-08,7.022113379662187e-08,6.850842737549101e-08,7.364656084973831e-08,1.0447534748436738e-07,8.734824064049462e-08,9.419908764130014e-08,1.4558040106749104e-07,1.0961348095861467e-07,5.994487395355463e-08,6.679571384893279e-08,7.878468721855825e-08,6.16575803746855e-08,6.337029390124371e-08,4.453047708352642e-08,8.906095416705284e-08,7.022113379662187e-08,4.110505358312366e-08,4.453047708352642e-08,8.392282069280554e-08,9.762450758898922e-08,4.281776710968188e-08,6.16575803746855e-08,3.7679633635434584e-08,4.966860700506004e-08,4.624318705737096e-08,4.110505358312366e-08,1.0790076743205645e-07,1.010499275366783e-07,8.734824064049462e-08,4.110505358312366e-08
1853,8.114184879559616e-08,9.185870197825352e-08,1.1788533527123946e-07,6.736304669630044e-08,7.501793675146473e-08,1.1788533527123946e-07,6.277011266320187e-08,3.2150545337117364e-08,1.4391196145879803e-07,1.6228369759119232e-07,1.0869946009961495e-07,6.430109067423473e-08,8.87967459561878e-08,1.2094729129330517e-07,9.798261402238495e-08,6.123913465216901e-08,1.592217415691266e-07,8.726576794515495e-08,9.951359203341781e-08,7.96108707845633e-08,1.5309782952499518e-07,1.1482337924917374e-07,9.185870197825352e-08,1.2094729129330517e-07,1.347260933926009e-07,1.1788533527123946e-07,7.807989277353045e-08,1.1788533527123946e-07,6.583206868526759e-08,1.2094729129330517e-07,7.96108707845633e-08,1.1788533527123946e-07,5.81771786301033e-08,7.348695874043187e-08,4.133641695602819e-08,8.114184879559616e-08,5.970815664113616e-08,8.420381192308923e-08,5.205326303325819e-08,4.2867394967061045e-08,7.807989277353045e-08,7.042500271836616e-08,3.980543539228165e-08,3.980543539228165e-08,1.1176141612168067e-07,8.87967459561878e-08,4.8991307011192475e-08,5.970815664113616e-08
1854,7.973966376084718e-08,8.81333122038086e-08,6.854813250356528e-08,5.8755542653443626e-08,8.393649153504157e-08,8.11386087207211e-08,1.2030896812120773e-07,4.476612858184126e-08,1.4129309988675232e-07,2.490115775799495e-07,1.4269203063577152e-07,4.336718717468102e-08,8.81333122038086e-08,1.0072378842096441e-07,8.81333122038086e-08,1.0072378842096441e-07,6.575024968924481e-08,9.512802279232346e-08,8.953225716368252e-08,7.554284309208015e-08,1.0911743686392583e-07,7.69417809465267e-08,7.274496027775967e-08,1.0212273338083833e-07,1.0352167123528488e-07,8.533542938948813e-08,7.834072590640062e-08,7.274496027775967e-08,6.99470774634392e-08,8.673437434936204e-08,7.834072590640062e-08,5.735660124628339e-08,1.0352167123528488e-07,4.896295280332197e-08,5.0361894210482205e-08,6.99470774634392e-08,6.155342902047778e-08,1.1051638182379975e-07,8.673437434936204e-08,4.1968245767520784e-08,8.673437434936204e-08,7.274496027775967e-08,3.7771421546040074e-08,6.295236687492434e-08,8.253754657516765e-08,5.595765983912315e-08,7.973966376084718e-08,1.0631955404960536e-07
1855,8.675656459899983e-08,1.1988180403932347e-07,8.202439261140171e-08,5.994090201966173e-08,7.413743219331081e-08,6.940525310028534e-08,7.571482285584352e-08,4.416697763076627e-08,1.1199483651580522e-07,1.3092353867705242e-07,8.202439261140171e-08,4.258958696823356e-08,1.2303658536438888e-07,9.93757041101162e-08,8.517917393646712e-08,8.675656459899983e-08,1.5300703637421975e-07,1.5931659902435058e-07,8.517917393646712e-08,1.0568527386567439e-07,1.5300703637421975e-07,9.464352501709072e-08,1.5773920836181787e-07,1.167270156088307e-07,1.072626645282071e-07,1.183044062713634e-07,8.044699484344164e-08,7.886960418090894e-08,6.782786243775263e-08,1.0095309477264891e-07,5.836350780441535e-08,8.202439261140171e-08,6.782786243775263e-08,5.678611714188264e-08,3.943480209045447e-08,6.467307400725986e-08,6.782786243775263e-08,1.0095309477264891e-07,4.5744371846012655e-08,6.467307400725986e-08,5.678611714188264e-08,6.625047177521992e-08,6.625047177521992e-08,4.889915672379175e-08,6.309568334472715e-08,7.256003442535075e-08,6.625047177521992e-08,3.470262655014267e-08
1856,7.035064442106886e-08,8.647266724892688e-08,9.673213696714811e-08,6.302244770495236e-08,8.500702364244717e-08,6.741936431353679e-08,7.621319753070566e-08,1.0112904647030518e-07,1.025946900767849e-07,2.726087302562519e-07,1.0552596307888962e-07,6.009117470284764e-08,1.0699159957994198e-07,6.888500081458915e-08,1.025946900767849e-07,1.1285415268957877e-07,1.0406032657783726e-07,8.207575064034245e-08,1.231136224078e-07,6.888500081458915e-08,1.8760171371923207e-07,1.2897618262286414e-07,1.0406032657783726e-07,8.500702364244717e-08,1.172510692981632e-07,1.0992287968747405e-07,6.448809131143207e-08,9.966340996925283e-08,7.035064442106886e-08,1.260448954099047e-07,9.673213696714811e-08,6.595372781248443e-08,6.15568112039e-08,1.3190745562496886e-07,5.86255346490816e-08,6.595372781248443e-08,6.448809131143207e-08,1.2897618262286414e-07,7.914447053281037e-08,3.517532221053443e-08,4.983170498462641e-08,7.47475610296533e-08,3.517532221053443e-08,6.448809131143207e-08,1.172510692981632e-07,9.526649336066839e-08,9.673213696714811e-08,4.983170498462641e-08
1857,9.07817039319525e-08,6.892685178172542e-08,5.379656542459088e-08,8.573827869895467e-08,6.220227533049183e-08,5.2115421311782484e-08,1.0423084262356497e-07,1.0254970561618393e-07,1.3281027122502564e-07,1.2608569477379206e-07,8.573827869895467e-08,8.405713458614628e-08,1.428971216910213e-07,1.0591198673637336e-07,7.060798878910646e-08,1.0927427496199016e-07,1.2944798299940885e-07,1.1431770019498799e-07,7.733256524034005e-08,1.0086856150337553e-07,1.3281027122502564e-07,1.0423084262356497e-07,9.750627327775874e-08,7.901370224772108e-08,7.397027701472325e-08,1.529839863678717e-07,1.0591198673637336e-07,8.741941570633571e-08,6.556456355610862e-08,9.07817039319525e-08,8.573827869895467e-08,7.397027701472325e-08,7.060798878910646e-08,8.910055981914411e-08,1.126365560821796e-07,4.539085196597625e-08,6.892685178172542e-08,6.892685178172542e-08,8.910055981914411e-08,7.397027701472325e-08,6.724570766891702e-08,7.901370224772108e-08,6.220227533049183e-08,6.724570766891702e-08,9.07817039319525e-08,6.892685178172542e-08,1.0759313084918176e-07,8.069484636052948e-08
1858,1.3053700342879893e-07,1.2700897400463873e-07,1.411210774904248e-07,1.217169369738258e-07,1.0231278224637208e-07,2.2226569740269042e-07,1.217169369738258e-07,8.643666404850592e-08,2.681300372842088e-07,3.96903033106355e-07,1.7287332809701184e-07,8.996468636723876e-08,1.834574021586377e-07,1.411210774904248e-07,1.164248928375855e-07,9.525673050347905e-08,2.0286155688609142e-07,2.487259109784645e-07,1.3582904045961186e-07,1.164248928375855e-07,9.525673050347905e-08,1.799293727344775e-07,1.1289686341342531e-07,1.605252322178785e-07,1.7816536512782477e-07,1.7816536512782477e-07,1.4817713633874519e-07,1.1289686341342531e-07,1.1289686341342531e-07,1.3053700342879893e-07,1.0407679695845218e-07,1.1818890044423824e-07,1.217169369738258e-07,1.217169369738258e-07,7.05605387452124e-08,1.44649106914585e-07,7.585258288145269e-08,1.340650186421044e-07,8.467264933642582e-08,7.938060520018553e-08,7.761659048810543e-08,1.1289686341342531e-07,9.878475282221189e-08,6.526850171439946e-08,1.340650186421044e-07,8.467264933642582e-08,9.878475282221189e-08,9.172870107931885e-08
1859,4.8734484892065666e-08,9.746896978413133e-08,5.198344865675608e-08,6.335482538588622e-08,6.822827458563552e-08,6.335482538588622e-08,8.934654971426426e-08,5.848137973885059e-08,9.421999891401356e-08,1.8356655573370517e-07,6.49793108209451e-08,9.584448434907245e-08,7.797517298513412e-08,1.5595034597026824e-07,6.01058616211958e-08,1.1696275947770118e-07,1.3808103460632992e-07,1.1696275947770118e-07,1.10464824842893e-07,9.421999891401356e-08,1.1371379571301077e-07,1.0559138274857105e-07,5.198344865675608e-08,7.310172378538482e-08,1.1696275947770118e-07,1.153382740426423e-07,1.299586216418902e-07,1.0071793354882175e-07,1.1208931027795188e-07,9.097103514932314e-08,7.147724545575329e-08,7.797517298513412e-08,7.959965842019301e-08,7.147724545575329e-08,8.609758594957384e-08,4.223655025725748e-08,6.49793108209451e-08,8.284862218488342e-08,5.848137973885059e-08,5.360793053910129e-08,9.909344811376286e-08,7.797517298513412e-08,1.0234241187845328e-07,5.198344865675608e-08,8.447310051451495e-08,1.1858724491276007e-07,9.746896978413133e-08,8.284862218488342e-08
1860,7.231817278352537e-08,7.860671047410506e-08,5.030829441921014e-08,8.175097576668122e-08,7.231817278352537e-08,7.546243807610153e-08,7.703457782781697e-08,6.44575024466576e-08,1.3048713753960328e-07,2.468250670517591e-07,9.590018379412868e-08,7.074604013723729e-08,1.2577073960073903e-07,9.118378585526443e-08,9.43280511478406e-08,8.961164610354899e-08,1.0061658883842028e-07,1.2734287224702712e-07,6.602963509294568e-08,8.489524816468474e-08,1.1004939182157614e-07,9.90444561921322e-08,8.961164610354899e-08,7.703457782781697e-08,1.7607902691452182e-07,1.3205927018589136e-07,7.231817278352537e-08,9.43280511478406e-08,6.602963509294568e-08,8.017884312039314e-08,4.5591892927632216e-08,4.4019756728630455e-08,1.1162153157329158e-07,7.389030542981345e-08,5.816896475607791e-08,5.659683210978983e-08,5.502469591078807e-08,9.590018379412868e-08,6.288536980036952e-08,6.760176773923376e-08,5.3452563264499986e-08,5.1880427065498225e-08,3.773121903805077e-08,4.087548788334061e-08,8.646738081097283e-08,5.9741097402366e-08,4.4019756728630455e-08,6.131323715408143e-08
1861,7.628249676372434e-08,1.0308445297368962e-07,7.215911779212547e-08,5.154222648684481e-08,7.42208072779249e-08,1.4637991796462302e-07,1.1133121091688736e-07,5.7727291391529434e-08,1.7730525314618717e-07,1.628734338510185e-07,1.0926952143108792e-07,1.2163965834588453e-07,1.7936694973741396e-07,8.040587573532321e-08,1.237013407262566e-07,2.123539672993502e-07,1.6493513044224528e-07,1.8967539006098377e-07,8.659093708729415e-08,8.865262657309358e-08,1.5668837249904755e-07,1.1133121091688736e-07,9.277600554469245e-08,9.277600554469245e-08,1.4225653899302415e-07,1.8142863211778604e-07,1.0102276348789019e-07,5.154222648684481e-08,8.865262657309358e-08,1.1957796175465774e-07,4.535715802944651e-08,2.474026850052269e-08,7.215911779212547e-08,5.7727291391529434e-08,3.711040363896245e-08,5.978898087732887e-08,5.154222648684481e-08,9.071431605889302e-08,7.42208072779249e-08,3.092533518156415e-08,6.18506703631283e-08,9.071431605889302e-08,3.504871415316302e-08,3.711040363896245e-08,9.689938451629132e-08,8.040587573532321e-08,5.154222648684481e-08,8.659093708729415e-08
1862,6.257459261860276e-08,4.33208704464505e-08,5.5354444583599616e-08,5.294772975616979e-08,5.776116296374312e-08,5.5354444583599616e-08,7.460816675575188e-08,3.610072596416103e-08,1.27555892959208e-07,2.0697748936981952e-07,3.3694011136731206e-08,5.5354444583599616e-08,1.0589545951233958e-07,1.0108202985747994e-07,5.054101492873997e-08,5.5354444583599616e-08,1.0589545951233958e-07,1.0108202985747994e-07,6.979473710089223e-08,1.0108202985747994e-07,8.6641740892901e-08,8.6641740892901e-08,6.498130744603259e-08,6.979473710089223e-08,1.9494392233809776e-07,1.1311560399462905e-07,1.2033575558234588e-07,4.33208704464505e-08,6.257459261860276e-08,6.979473710089223e-08,3.3694011136731206e-08,5.5354444583599616e-08,5.776116296374312e-08,5.294772975616979e-08,6.738802227346241e-08,3.128729630930138e-08,6.979473710089223e-08,9.386188537519047e-08,2.4067150050655073e-08,3.128729630930138e-08,4.572758527388032e-08,3.850744079159085e-08,1.6847005568365603e-08,5.776116296374312e-08,4.572758527388032e-08,7.70148815831817e-08,4.33208704464505e-08,4.8134300101310146e-08
1863,8.444317245448474e-08,8.900767056729819e-08,3.651596713893923e-08,4.564495981185246e-08,3.651596713893923e-08,7.303193427787846e-08,3.879821619534596e-08,4.336271075544573e-08,1.5519286478138383e-07,1.5975736289419729e-07,5.7056197988458734e-08,6.162069610127219e-08,1.0954789786410402e-07,1.0954789786410402e-07,6.846743616506501e-08,8.216092339807801e-08,8.672542151089147e-08,7.531418333428519e-08,6.618518710865828e-08,8.216092339807801e-08,8.444317245448474e-08,7.531418333428519e-08,1.0726565591312465e-07,7.759643239069192e-08,1.3008813937176456e-07,1.3921712138653675e-07,1.1411239597691747e-07,5.477394893205201e-08,6.846743616506501e-08,7.987868144709864e-08,5.933844704486546e-08,2.5104727185976117e-08,6.162069610127219e-08,8.444317245448474e-08,9.357216868011164e-08,1.8257983569469616e-08,6.162069610127219e-08,8.672542151089147e-08,4.564495981185246e-08,4.1080461699039006e-08,5.933844704486546e-08,5.0209454371952233e-08,6.846743616506501e-08,3.651596713893923e-08,3.195147257883946e-08,5.933844704486546e-08,3.195147257883946e-08,5.7056197988458734e-08
1864,1.5877208170422819e-07,6.583232448065246e-08,6.583232448065246e-08,5.615110154622016e-08,5.034236849610352e-08,9.487600038937671e-08,8.906727089197375e-08,6.195983814905048e-08,1.6070832487002917e-07,1.8200702811554947e-07,7.164106108348278e-08,1.0649347359503736e-07,1.2972840579550393e-07,9.293975722357573e-08,1.20047189966499e-07,1.0068473699220704e-07,1.2972840579550393e-07,2.536480963044596e-07,4.356551244200091e-07,1.0455723042923637e-07,1.6651706857828685e-07,1.0068473699220704e-07,7.74497976863131e-08,5.615110154622016e-08,1.2972840579550393e-07,1.355371495037616e-07,1.568358385384272e-07,5.808734826473483e-08,7.357731135471113e-08,6.583232448065246e-08,5.034236849610352e-08,5.2278615214618185e-08,9.487600038937671e-08,1.0068473699220704e-07,6.583232448065246e-08,4.646987861178786e-08,1.3166464896130492e-07,8.906727089197375e-08,4.840612177758885e-08,6.97048179176818e-08,9.487600038937671e-08,5.421485838041917e-08,3.291616224032623e-08,4.259738872747221e-08,9.68122435551777e-08,1.4134587900116458e-07,7.74497976863131e-08,8.132228401791508e-08
1865,1.1589674642209502e-07,6.459818280291074e-08,6.839808008862747e-08,8.549759655807065e-08,1.1779669506495338e-07,1.8999466533387022e-07,1.3109631424867985e-07,9.499733266693511e-08,2.374933245619104e-07,3.1159123636825825e-07,1.4059605746297166e-07,8.169770637778129e-08,1.8049493633043312e-07,1.5959551546984585e-07,1.8049493633043312e-07,1.424959918949753e-07,2.9449174121509714e-07,3.4009045180027897e-07,1.576955668269875e-07,1.956945112624453e-07,1.8239487076243677e-07,2.241936982727566e-07,1.9189461397672858e-07,1.386961088201133e-07,2.431931704904855e-07,2.6029269406535605e-07,3.2679082551112515e-07,1.9759444569444895e-07,8.739754520092902e-08,1.0069717149008284e-07,1.0449706877579956e-07,1.1019690759894729e-07,1.576955668269875e-07,1.3109631424867985e-07,7.599786755463356e-08,1.025971201329412e-07,1.5199573510926712e-07,1.0829695895608893e-07,1.0069717149008284e-07,5.699839888961833e-08,1.0449706877579956e-07,1.0449706877579956e-07,1.025971201329412e-07,7.40979189117752e-08,1.0639701031323057e-07,1.386961088201133e-07,1.234965338881011e-07,7.599786755463356e-08
1866,1.219144678543671e-07,1.3236427776064374e-07,1.0101484804181382e-07,6.095723392718355e-08,1.6023044224766636e-07,1.1146465794809046e-07,1.70680252153943e-07,8.359849346106785e-08,2.455705612192105e-07,4.058010176777316e-07,1.3410591748197476e-07,1.0449811327362113e-07,2.368624052451196e-07,1.8287170178155066e-07,1.2888101252883644e-07,1.410724621564441e-07,2.5776202505767287e-07,2.5776202505767287e-07,1.689386266434667e-07,1.5500553729452804e-07,1.5674717701585905e-07,1.7764679682841233e-07,1.3410591748197476e-07,1.184312026225598e-07,2.908530802869791e-07,2.5950365056814917e-07,3.134943540317181e-07,2.142211457112353e-07,6.966541121755654e-08,7.837358850792953e-08,1.201728281330361e-07,8.185686084516419e-08,1.9680479113048932e-07,1.1494793028532513e-07,1.3933082243511308e-07,9.57899430886755e-08,1.70680252153943e-07,8.359849346106785e-08,8.359849346106785e-08,5.050742402090691e-08,8.011522112383318e-08,6.792377860165288e-08,9.404830336734449e-08,8.011522112383318e-08,1.079813856108558e-07,1.3758918271378207e-07,1.1146465794809046e-07,1.0275648065771747e-07
1867,1.215216656191842e-07,7.180825889463449e-08,3.314227114969981e-08,4.971341027726339e-08,1.178391926259792e-07,5.707835981638709e-08,1.049505300443343e-07,7.917320488104451e-08,2.725031436057179e-07,2.9643922516697785e-07,7.3649495391237e-08,1.1231548313617168e-07,1.970123975070237e-07,1.7491754533693893e-07,1.2336290922121407e-07,1.1047424663956917e-07,2.0069487050022872e-07,2.1174230369069846e-07,1.2704538221441908e-07,1.47298990782474e-07,1.2336290922121407e-07,1.7860003254099865e-07,1.031092935477318e-07,1.215216656191842e-07,2.135835330818736e-07,1.5466393676888401e-07,9.20618674626894e-08,9.20618674626894e-08,9.758558405792428e-08,6.260206930619461e-08,5.89195963129896e-08,4.971341027726339e-08,7.917320488104451e-08,7.3649495391237e-08,1.215216656191842e-07,4.234846073813969e-08,1.1047424663956917e-07,9.390310395929191e-08,9.20618674626894e-08,5.89195963129896e-08,1.067917665409368e-07,9.02206309660869e-08,6.260206930619461e-08,4.787217022794721e-08,5.15546467738659e-08,8.285568497967688e-08,7.54907318878395e-08,6.444330580279711e-08
1868,1.3603579418486333e-07,1.0289886631653644e-07,7.325004247604738e-08,1.2905960034004238e-07,9.243457554930501e-08,6.97619455536369e-08,5.580955431128132e-08,6.97619455536369e-08,1.709167634089681e-07,1.8312509553197742e-07,6.452980017002119e-08,1.0638696323894692e-07,2.4416681299044285e-07,1.1685125400617835e-07,1.0638696323894692e-07,9.243457554930501e-08,1.9184534494343097e-07,1.238274478509993e-07,1.2905960034004238e-07,1.1685125400617835e-07,1.5173222323028313e-07,1.9184534494343097e-07,1.4998818187450524e-07,1.011548178553312e-07,1.7614890168715647e-07,1.709167634089681e-07,1.4824412630787265e-07,9.243457554930501e-08,6.801789709243167e-08,6.801789709243167e-08,6.627384863122643e-08,9.243457554930501e-08,1.3254769726245286e-07,1.2905960034004238e-07,5.232145738887084e-08,1.1685125400617835e-07,7.150599401484214e-08,2.4067870185717766e-07,5.406550585007608e-08,5.7553602772486556e-08,1.0289886631653644e-07,8.197028478207358e-08,6.627384863122643e-08,1.0638696323894692e-07,5.9297651233691795e-08,1.238274478509993e-07,1.0289886631653644e-07,1.0638696323894692e-07
1869,5.470400665785746e-08,5.983250872532153e-08,4.273750420225042e-08,8.376551363653562e-08,6.66705091134645e-08,5.470400665785746e-08,9.573201253942898e-08,7.350850950160748e-08,1.0940801331571492e-07,1.5898352501153568e-07,3.760900568750003e-08,8.718451027789342e-08,1.5214551751796535e-07,9.231300879264381e-08,6.838001098685709e-08,9.744151441282156e-08,1.33341018226929e-07,1.0257001292757195e-07,9.40225106660364e-08,6.66705091134645e-08,1.162460137038579e-07,8.034650988975045e-08,9.40225106660364e-08,7.008950575482231e-08,1.0598900956892976e-07,8.8894012151286e-08,7.008950575482231e-08,8.376551363653562e-08,6.496100724007192e-08,7.17990076282149e-08,3.9318504008178934e-08,5.812300685192895e-08,5.983250872532153e-08,1.0427951480096453e-07,7.17990076282149e-08,4.786600626971449e-08,7.863700801635787e-08,9.231300879264381e-08,9.573201253942898e-08,9.573201253942898e-08,8.547500840450084e-08,7.863700801635787e-08,7.863700801635787e-08,8.718451027789342e-08,9.060351402467859e-08,9.40225106660364e-08,8.376551363653562e-08,6.154201059871411e-08
1870,1.0261869931582623e-07,1.3914400653902703e-07,7.131129819981652e-08,7.65292043070076e-08,1.043580013515566e-07,9.044359927656842e-08,9.914010234979287e-08,8.000780127304097e-08,1.1479379935508405e-07,1.8610509755490057e-07,1.2175100039257813e-07,1.0957590035332032e-07,1.91323010767519e-07,1.8784440669605829e-07,1.0783660542301732e-07,1.4088330146933004e-07,1.6523350154784566e-07,1.4088330146933004e-07,1.4436190554079076e-07,1.1305450442478104e-07,2.1915180070664064e-07,1.6871210561930639e-07,1.3914400653902703e-07,1.0087940438552323e-07,7.861636390771309e-07,5.009184178561554e-07,1.4957980454255448e-07,1.1305450442478104e-07,2.1741250577633764e-07,1.0783660542301732e-07,1.0957590035332032e-07,9.914010234979287e-08,1.1653310139081441e-07,1.2696889939434186e-07,9.56615053837595e-08,1.0783660542301732e-07,8.52257002748047e-08,2.0697670777281019e-07,1.0609730338728696e-07,4.696110167401457e-08,7.478990227127724e-08,9.914010234979287e-08,8.870430434626542e-08,9.218290131229878e-08,1.2349030953373585e-07,1.1653310139081441e-07,8.696500231053506e-08,8.348639823907433e-08
1871,1.0052571752794393e-07,8.689511332704569e-08,5.281859927208643e-08,6.644920347298466e-08,8.178363941624411e-08,8.348746405317797e-08,6.985685274685238e-08,8.178363941624411e-08,3.9528757156404026e-07,4.378832159090962e-07,9.71180682540762e-08,1.4652901825229492e-07,1.7549405129102524e-07,1.8230934983876068e-07,1.5675196607389807e-07,1.2267545912436617e-07,1.7549405129102524e-07,1.8742083796041697e-07,1.5334431680003036e-07,1.9253231187121855e-07,1.0904484781804058e-07,1.99347610418954e-07,1.1756397810813723e-07,1.3971370549370477e-07,2.334241315793406e-07,1.294907576721016e-07,2.9305803650458984e-07,1.9764378578202013e-07,1.5675196607389807e-07,1.6186343998469965e-07,1.3630605621983705e-07,2.2660881882075046e-07,1.3630605621983705e-07,1.03933373907239e-07,1.1074867245497444e-07,1.0734102318110672e-07,9.200658723784727e-08,9.71180682540762e-08,4.6003293618923635e-08,4.6003293618923635e-08,8.348746405317797e-08,2.8283506026127725e-07,8.859893796397955e-08,1.3289840694596933e-07,1.3630605621983705e-07,7.326450912614746e-08,6.815302810991852e-08,5.963389781982187e-08
